表3. N(0, σ)的隨機亂數分佈表
序號     亂數(µm)       序號     亂數(µm)       序號     亂數(µm)       序號     亂數(µm)      
117      -5.4            303      -6.6            489      3.6             675      -34.3          
118      -18.4           304      -6.5            490      1.2             676      8.7            
119      2.9             305      -23.7           491      -23.5           677      1.2            
120      19.5            306      -26.8           492      -21.5           678      1.4            
121      -33.6           307      4.1             493      -1.4            679      -18.5          
122      -15.0           308      13.9            494      -12.5           680      14.2           
123      -15.0           309      10.7            495      41.3            681      10.0           
124      -9.2            310      -0.0            496      -22.9           682      -26.4          
125      -3.9            311      -12.5           497      27.8            683      -0.9           
126      -18.6           312      -33.2           498      8.5             684      24.2           
127      -5.1            313      -20.2           499      -6.8            685      -1.9           
128      19.9            314      -12.4           500      -20.7           686      40.5           
129      2.9             315      -6.0            501      -15.0           687      1.4            
130      -10.0           316      4.9             502      -13.6           688      -4.9           
131      6.1             317      4.4             503      -27.0           689      -25.6          
132      10.9            318      16.4            504      30.5            690      0.4            
133      -35.5           319      6.8             505      -16.3           691      11.9           
134      -3.5            320      -28.0           506      -24.3           692      37.7           
135      39.7            321      15.5            507      0.3             693      -16.2          
136      1.1             322      -21.7           508      0.4             694      -4.2           
137      3.5             323      -9.7            509      -27.7           695      1.5            
138      31.5            324      -15.0           510      -9.5            696      6.7            
139      -24.1           325      12.4            511      4.9             697      8.6            
140      17.1            326      -35.6           512      25.7            698      29.6           
141      -6.1            327      11.5            513      -7.0            699      14.2           
142      5.0             328      -15.3           514      18.4            700      -11.2          
143      12.1            329      -17.8           515      -32.4           701      48.1           
144      -4.2            330      -27.4           516      -8.1            702      -11.0          
145      -12.7           331      -17.4           517      3.4             703      8.5            
146      12.8            332      -25.4           518      -48.4           704      29.8           
147      -2.5            333      -19.0           519      4.5             705      31.2           
148      2.2             334      22.6            520      -12.5           706      -20.2          
149      11.9            335      -4.7            521      -22.2           707      -3.4           
150      18.0            336      -22.1           522      23.5            708      -15.5          
151      -5.0            337      22.7            523      5.9             709      -2.8           
152      -19.5           338      11.2            524      -15.1           710      -3.1           
153      8.5             339      6.7             525      -7.4            711      -25.5          
154      26.2            340      -11.8           526      -28.8           712      7.6            
155      -12.4           341      12.5            527      -21.1           713      8.4            
156      10.0            342      -13.9           528      27.3            714      -3.9           
157      28.3            343      -16.6           529      40.1            715      -8.9           
158      -1.5            344      -13.0           530      15.2            716      -6.8           
159      6.6             345      -10.0           531      -14.7           717      -44.3          
160      -2.2            346      9.7             532      6.9             718      -23.5          
161      -18.5           347      17.2            533      -10.9           719      -18.2          
162      -16.0           348      -40.8           534      -14.1           720      3.0            
163      -24.6           349      -10.1           535      19.8            721      4.5            
164      -3.4            350      -29.7           536      39.9            722      -8.4           
165      36.1            351      23.3            537      5.5             723      11.7           
166      4.7             352      31.3            538      19.7            724      5.0            
167      32.6            353      -13.8           539      -13.9           725      17.1           
168      -18.0           354      16.6            540      -5.4            726      -0.8           
169      -10.0           355      10.3            541      -6.8            727      1.9            
170      34.7            356      7.1             542      26.5            728      12.4           
171      -27.2           357      17.8            543      -9.0            729      0.6            
172      -26.1           358      14.4            544      0.5             730      21.4           
173      39.9            359      4.1             545      12.1            731      -12.4          
174      19.7            360      -15.2           546      -8.6            732      9.2            
175      4.7             361      29.8            547      -18.6           733      -3.0           
176      1.3             362      -20.5           548      -4.4            734      8.7            
177      22.3            363      -2.1            549      -14.3           735      -16.7          
178      13.0            364      -7.3            550      -10.9           736      16.0           
179      15.0            365      19.8            551      17.5            737      -48.1          
180      28.7            366      23.6            552      -2.2            738      -13.8          
181      25.7            367      25.8            553      16.4            739      43.3           
182      4.8             368      28.1            554      -27.2           740      33.1           
183      -27.0           369      -28.5           555      -1.9            741      1.4            
184      27.4            370      7.2             556      -24.9           742      -20.2          
185      -20.0           371      0.2             557      -0.3            743      -11.7          
186      -49.9           372      -12.6           558      -23.5           744      -13.7          
